5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 2 Flow (Veh/5 Minutes),Lane 3 Flow (Veh/5 Minutes),Flow (Veh/5 Minutes),# Lane Points,% Observed
9/28/2021 0:00,0,0,4,4,3,100.00
9/28/2021 0:05,0,0,4,4,3,100.00
9/28/2021 0:10,0,0,4,4,3,100.00
9/28/2021 0:15,0,0,5,5,3,100.00
9/28/2021 0:20,0,0,2,2,3,100.00
9/28/2021 0:25,0,0,1,1,3,100.00
9/28/2021 0:30,0,0,7,7,3,100.00
9/28/2021 0:35,0,1,2,3,3,100.00
9/28/2021 0:40,0,0,2,2,3,100.00
9/28/2021 0:45,0,0,2,2,3,100.00
9/28/2021 0:50,0,1,3,4,3,100.00
9/28/2021 0:55,0,0,3,3,3,100.00
9/28/2021 1:00,0,0,3,3,3,100.00
9/28/2021 1:05,0,0,4,4,3,100.00
9/28/2021 1:10,0,0,1,1,3,100.00
9/28/2021 1:15,0,0,1,1,3,100.00
9/28/2021 1:20,0,1,2,3,3,100.00
9/28/2021 1:25,0,0,2,2,3,100.00
9/28/2021 1:30,0,0,0,0,3,100.00
9/28/2021 1:35,0,0,4,4,3,100.00
9/28/2021 1:40,0,0,2,2,3,100.00
9/28/2021 1:45,0,0,3,3,3,100.00
9/28/2021 1:50,0,0,1,1,3,100.00
9/28/2021 1:55,0,0,0,0,3,100.00
9/28/2021 2:00,0,0,0,0,3,100.00
9/28/2021 2:05,0,0,2,2,3,100.00
9/28/2021 2:10,0,1,2,3,3,100.00
9/28/2021 2:15,0,0,2,2,3,100.00
9/28/2021 2:20,0,0,0,0,3,100.00
9/28/2021 2:25,0,0,3,3,3,100.00
9/28/2021 2:30,0,0,3,3,3,100.00
9/28/2021 2:35,0,0,0,0,3,100.00
9/28/2021 2:40,0,2,1,3,3,100.00
9/28/2021 2:45,0,0,2,2,3,100.00
9/28/2021 2:50,0,0,2,2,3,100.00
9/28/2021 2:55,0,1,0,1,3,100.00
9/28/2021 3:00,0,0,0,0,3,100.00
9/28/2021 3:05,0,0,1,1,3,100.00
9/28/2021 3:10,0,0,1,1,3,100.00
9/28/2021 3:15,0,0,0,0,3,100.00
9/28/2021 3:20,0,0,0,0,3,100.00
9/28/2021 3:25,0,0,2,2,3,100.00
9/28/2021 3:30,0,0,1,1,3,100.00
9/28/2021 3:35,0,0,1,1,3,100.00
9/28/2021 3:40,0,0,1,1,3,100.00
9/28/2021 3:45,0,0,0,0,3,100.00
9/28/2021 3:50,0,0,1,1,3,100.00
9/28/2021 3:55,0,0,2,2,3,100.00
